Starting (copy all comps)
Loading merge file D:\PROJECTS\LED CUBE\ORCAD\ORCAD\LED\LED555.MAX
Component J00 copied and added
Component J1 copied and added
Component J6 copied and added
Component J10 copied and renamed to J10000
Component J11 copied and added
Component J12 copied and added
Component J13 copied and added
Component J14 copied and added
Component J15 copied and added
Component J16 copied and added
Component J17 copied and added
Component J20 copied and added
Component J21 copied and added
Component J22 copied and added
Component J23 copied and added
Component J24 copied and added
Component J25 copied and added
Component J26 copied and added
Component J27 copied and added
Component J30 copied and added
Component J31 copied and added
Component J32 copied and added
Component J33 copied and added
Component J34 copied and added
Component J35 copied and added
Component J36 copied and added
Component J37 copied and added
Component J38 copied and added
Component J39 copied and added
Component 30 copied and added
Component 31 copied and added
Component 32 copied and added
Component 33 copied and added
Net 0 merged into existing net
Net N01997 copied and added
Net N02076 copied and added
Net N02127 copied and added
Net N02181 copied and added
Net N02235 copied and added
Net N02337 copied and added
Net N02355 copied and added
Net N02441 copied and added
Net N02457 copied and added
Net N02654 copied and added
Net N02703 copied and added
Net N02752 copied and added
Net N02801 copied and added
Net N02843 copied and added
Net N02883 copied and added
Net N02897 copied and added
Net N02979 copied and added
Net N08860 copied and added
Net N09250 copied and added
Net N09586 copied and added
Net N09660 copied and added
Net N09743 copied and added
Net N09829 copied and added
Net N09912 copied and added
Net N09995 copied and added
Net N12846 copied and added
Net N12848 copied and added
Net N12852 copied and added
Net N12854 copied and added
Net N12856 copied and added
Net N14025 copied and added
Net N14027 copied and added
Net N14029 copied and added
Net N14031 copied and added
Net N14033 copied and added
Complete
